      6700 CLK=0 RST=0 OUT= 7 9
      6750 CLK=1 RST=0 OUT= 7 8
      6800 CLK=0 RST=0 OUT= 7 8
      6850 CLK=1 RST=0 OUT= 7 8
      6900 CLK=0 RST=0 OUT= 7 8
      6950 CLK=1 RST=0 OUT= 7 8
      7000 CLK=0 RST=0 OUT= 7 8
      7050 CLK=1 RST=0 OUT= 7 7
      7100 CLK=0 RST=0 OUT= 7 7
      7150 CLK=1 RST=0 OUT= 7 7
      7200 CLK=0 RST=0 OUT= 7 7
      7250 CLK=1 RST=0 OUT= 7 7
      7300 CLK=0 RST=0 OUT= 7 7
      7350 CLK=1 RST=0 OUT= 7 6
      7400 CLK=0 RST=0 OUT= 7 6
      7450 CLK=1 RST=0 OUT= 7 6
      7500 CLK=0 RST=0 OUT= 7 6
      7550 CLK=1 RST=0 OUT= 7 6
      7600 CLK=0 RST=0 OUT= 7 6
      7650 CLK=1 RST=0 OUT= 7 5
      7700 CLK=0 RST=0 OUT= 7 5
      7750 CLK=1 RST=0 OUT= 7 5
      7800 CLK=0 RST=0 OUT= 7 5
      7850 CLK=1 RST=0 OUT= 7 5
      7900 CLK=0 RST=0 OUT= 7 5
      7950 CLK=1 RST=0 OUT= 7 4
      8000 CLK=0 RST=0 OUT= 7 4
      8050 CLK=1 RST=0 OUT= 7 4
      8100 CLK=0 RST=0 OUT= 7 4
      8150 CLK=1 RST=0 OUT= 7 4
      8200 CLK=0 RST=0 OUT= 7 4
      8250 CLK=1 RST=0 OUT= 7 3
      8300 CLK=0 RST=0 OUT= 7 3
      8350 CLK=1 RST=0 OUT= 7 3
      8400 CLK=0 RST=0 OUT= 7 3
      8450 CLK=1 RST=0 OUT= 7 3
      8500 CLK=0 RST=0 OUT= 7 3
      8550 CLK=1 RST=0 OUT= 7 2
      8600 CLK=0 RST=0 OUT= 7 2
      8650 CLK=1 RST=0 OUT= 7 2
      8700 CLK=0 RST=0 OUT= 7 2
      8750 CLK=1 RST=0 OUT= 7 2
      8800 CLK=0 RST=0 OUT= 7 2
      8850 CLK=1 RST=0 OUT= 7 1
      8900 CLK=0 RST=0 OUT= 7 1
      8950 CLK=1 RST=0 OUT= 7 1
      9000 CLK=0 RST=0 OUT= 7 1
      9050 CLK=1 RST=0 OUT= 7 1
      9100 CLK=0 RST=0 OUT= 7 1
      9150 CLK=1 RST=0 OUT= 7 0
      9200 CLK=0 RST=0 OUT= 7 0
      9250 CLK=1 RST=0 OUT= 7 0
      9300 CLK=0 RST=0 OUT= 7 0
      9350 CLK=1 RST=0 OUT= 7 0
      9400 CLK=0 RST=0 OUT= 7 0
      9450 CLK=1 RST=0 OUT= 6 9
      9500 CLK=0 RST=0 OUT= 6 9
      9550 CLK=1 RST=0 OUT= 6 9
      9600 CLK=0 RST=0 OUT= 6 9
      9650 CLK=1 RST=0 OUT= 6 9
      9700 CLK=0 RST=0 OUT= 6 9
      9750 CLK=1 RST=0 OUT= 6 8
      9800 CLK=0 RST=0 OUT= 6 8
      9850 CLK=1 RST=0 OUT= 6 8
      9900 CLK=0 RST=0 OUT= 6 8
      9950 CLK=1 RST=0 OUT= 6 8
     10000 CLK=0 RST=0 OUT= 6 8
     10050 CLK=1 RST=0 OUT= 6 7
     10100 CLK=0 RST=0 OUT= 6 7
     10150 CLK=1 RST=0 OUT= 6 7
     10200 CLK=0 RST=0 OUT= 6 7
     10250 CLK=1 RST=0 OUT= 6 7
     10300 CLK=0 RST=0 OUT= 6 7
     10350 CLK=1 RST=0 OUT= 6 6
     10400 CLK=0 RST=0 OUT= 6 6
     10450 CLK=1 RST=0 OUT= 6 6
     10500 CLK=0 RST=0 OUT= 6 6
     10550 CLK=1 RST=0 OUT= 6 6
     10600 CLK=0 RST=0 OUT= 6 6
     10650 CLK=1 RST=0 OUT= 6 5
     10700 CLK=0 RST=0 OUT= 6 5
     10750 CLK=1 RST=0 OUT= 6 5
     10800 CLK=0 RST=0 OUT= 6 5
     10850 CLK=1 RST=0 OUT= 6 5
     10900 CLK=0 RST=0 OUT= 6 5
     10950 CLK=1 RST=0 OUT= 6 4
     11000 CLK=0 RST=0 OUT= 6 4
     11050 CLK=1 RST=0 OUT= 6 4
     11100 CLK=0 RST=0 OUT= 6 4
     11150 CLK=1 RST=0 OUT= 6 4
     11200 CLK=0 RST=0 OUT= 6 4
     11250 CLK=1 RST=0 OUT= 6 3
     11300 CLK=0 RST=0 OUT= 6 3
     11350 CLK=1 RST=0 OUT= 6 3
     11400 CLK=0 RST=0 OUT= 6 3
     11450 CLK=1 RST=0 OUT= 6 3
     11500 CLK=0 RST=0 OUT= 6 3
     11550 CLK=1 RST=0 OUT= 6 2
     11600 CLK=0 RST=0 OUT= 6 2
     11650 CLK=1 RST=0 OUT= 6 2
     11700 CLK=0 RST=0 OUT= 6 2
     11750 CLK=1 RST=0 OUT= 6 2
     11800 CLK=0 RST=0 OUT= 6 2
     11850 CLK=1 RST=0 OUT= 6 1
     11900 CLK=0 RST=0 OUT= 6 1
